event_id,timestamp,event_type,source_ip,username,session_id,status,http_status,resource,filename,file_ext,file_size,mime_type,sha256,failed_attempts_ip_60s,failed_attempts_user_60s,failed_attempts_ip_300s,success_after_failed_burst,seconds_since_prev_event_ip,seconds_since_prev_auth_ip,seconds_since_prev_upload_ip,upload_after_login_seconds,upload_after_failed_burst,suspicious_extension_flag,mime_mismatch_flag,filename_length,filename_entropy,label
5da65111352f50e3834d0bc828e87608,2026-05-10 13:00:36,AUTH,192.168.56.11,student,,FAILED,401,/login,,,0,,,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0.0,benign
af8e388f5b415b81e1009657a3030684,2026-05-10 13:00:41,AUTH,192.168.56.11,admin,,FAILED,401,/login,,,0,,,1,0,1,0,5,5,-1,-1,0,0,0,0,0.0,benign
bf0c78d007b489100cf7fbdc1c861b5c,2026-05-10 13:00:53,AUTH,192.168.56.11,student,1562ce6160292b48d3d5f34417ee3602,SUCCESS,200,/login,,,0,,,2,1,2,0,12,12,-1,-1,0,0,0,0,0.0,benign
a351787581375b2f1c5ac151bdb0ebde,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,0,0,2,0,134,134,-1,-1,0,0,0,0,0.0,benign
9a39e8f63d945a87f110519e0cad6aba,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,1,1,3,0,0,0,-1,-1,0,0,0,0,0.0,benign
eba2a0a4ae7a92495aa9c34b804bd4a2,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,2,2,4,0,0,0,-1,-1,0,0,0,0,0.0,bruteforce
658b8a09f0f81fa2664ec9ee80b4fd3a,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,3,3,5,0,0,0,-1,-1,0,0,0,0,0.0,bruteforce
90d4817537c97bd917d116ae54d103f1,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,4,4,6,0,0,0,-1,-1,0,0,0,0,0.0,bruteforce
bb80b214cd50d89e2f137dd3591c2119,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,5,5,7,0,0,0,-1,-1,0,0,0,0,0.0,bruteforce
e3bfcb81970ff78e7567785ec8609db9,2026-05-10 13:03:07,AUTH,192.168.56.11,Admin,,FAILED,401,/login,,,0,,,6,6,8,0,0,0,-1,-1,0,0,0,0,0.0,bruteforce
